,y,ds
427,3051.225352,2019-03-04
428,5132.2572,2019-03-05
429,2478.19166,2019-03-06
430,2165.38231,2019-03-07
431,2509.826508,2019-03-08
432,2246.0774,2019-03-09
433,2410.65027,2019-03-10
434,2247.09485,2019-03-11
435,2464.49,2019-03-12
436,2431.958732,2019-03-13
437,2529.53365,2019-03-14
438,2513.7,2019-03-15
439,2441.88,2019-03-16
440,2577.54,2019-03-17
441,2754.43,2019-03-18
442,2979.2,2019-03-19
443,3085.6,2019-03-20
444,5547.2571,2019-03-21
445,2611.80612,2019-03-22
446,2705.006668,2019-03-23
447,2956.59,2019-03-24
448,2464.49,2019-03-25
449,3022.824,2019-03-26
450,5371.080512,2019-03-27
451,3202.00825,2019-03-28
452,2489.76,2019-03-29
453,2602.81,2019-03-30
454,2906.05,2019-03-31
455,2448.497415,2019-04-01
456,2577.54,2019-04-02
457,2854.07892,2019-04-03
458,2335.002796,2019-04-04
459,2641.92264,2019-04-05
460,2253.466348,2019-04-06
461,2298.7587,2019-04-07
462,2509.71,2019-04-08
463,2306.22,2019-04-09
464,2686.51488,2019-04-10
465,2374.05,2019-04-11
466,2513.7,2019-04-12
467,2690.59,2019-04-13
468,2501.59035,2019-04-14
469,2729.16,2019-04-15
470,2713.2,2019-04-16
471,2487.1,2019-04-17
472,6141.548714,2019-04-18
473,2276.96,2019-04-19
474,2519.23812,2019-04-20
475,2234.4,2019-04-21
476,2489.76,2019-04-22
477,2404.64,2019-04-23
478,2128.0,2019-04-24
479,2170.56,2019-04-25
480,2306.22,2019-04-26
481,2261.0,2019-04-27
482,6120.66,2019-04-28
483,6016.92,2019-04-29
484,5653.83,2019-04-30
485,5996.27042,2019-05-01
486,2311.909075,2019-05-02
487,6064.8,2019-05-03
488,2255.68,2019-05-04
489,2128.0,2019-05-05
490,5958.4,2019-05-06
491,5468.40406,2019-05-07
492,6286.644,2019-05-08
493,2622.76,2019-05-09
494,5757.57,2019-05-10
495,5812.1,2019-05-11
496,5462.31,2019-05-12
497,4883.76,2019-05-13
498,5363.89,2019-05-14
499,5117.84,2019-05-15
500,5757.57,2019-05-16
501,5068.63,2019-05-17
502,5862.64,2019-05-18
503,5708.36,2019-05-19
504,5862.64,2019-05-20
505,5458.32,2019-05-21
506,4931.64,2019-05-22
507,4970.21,2019-05-23
508,5660.48,2019-05-24
509,5508.86,2019-05-25
510,5508.86,2019-05-26
511,5455.887962,2019-05-27
512,4974.40216,2019-05-28
513,5205.62,2019-05-29
514,5199.45545,2019-05-30
515,5335.96,2019-05-31
516,4522.0,2019-06-01
517,4928.98,2019-06-02
518,5314.68,2019-06-03
519,5075.28,2019-06-04
520,5171.04,2019-06-05
521,5458.32,2019-06-06
522,5122.504044,2019-06-07
523,5730.587226,2019-06-08
524,5054.0,2019-06-09
525,5701.8031,2019-06-10
526,5362.56,2019-06-11
527,4928.98,2019-06-12
528,4921.0,2019-06-13
529,5306.7,2019-06-14
530,5560.73,2019-06-15
531,4657.66,2019-06-16
532,5426.4,2019-06-17
533,5135.13,2019-06-18
534,4959.57,2019-06-19
535,4774.398489,2019-06-20
536,5104.59985,2019-06-21
537,4883.76,2019-06-22
538,5200.3,2019-06-23
539,4522.0,2019-06-24
540,5601.96,2019-06-25
541,5253.131723,2019-06-26
542,5384.32944,2019-06-27
543,5560.73,2019-06-28
544,4432.89,2019-06-29
545,5218.92,2019-06-30
546,5098.49515,2019-07-01
547,5098.49515,2019-07-02
548,5511.52,2019-07-03
549,5609.94,2019-07-04
550,5030.79283,2019-07-05
551,5845.26222,2019-07-06
552,6846.84,2019-07-07
553,5770.072,2019-07-08
554,5290.208,2019-07-09
555,5620.846,2019-07-10
556,4783.254028,2019-07-11
557,5701.8031,2019-07-12
558,4928.98,2019-07-13
559,4256.0,2019-07-14
560,4979.52,2019-07-15
561,5064.64,2019-07-16
562,5135.13,2019-07-17
563,4428.524275,2019-07-18
564,4809.28,2019-07-19
565,5554.08,2019-07-20
566,4553.92,2019-07-21
567,5266.8,2019-07-22
568,4793.32,2019-07-23
569,4928.98,2019-07-24
570,5539.45,2019-07-25
571,6016.92,2019-07-26
572,5554.08,2019-07-27
573,5462.31,2019-07-28
574,5411.362887,2019-07-29
575,5855.6974,2019-07-30
576,5426.4,2019-07-31
577,6056.82,2019-08-01
578,4793.32,2019-08-02
579,5266.8,2019-08-03
580,5806.78,2019-08-04
581,5266.8,2019-08-05
582,5660.48,2019-08-06
583,5314.68,2019-08-07
584,4652.34,2019-08-08
585,4740.12,2019-08-09
586,5019.42,2019-08-10
587,5019.42,2019-08-11
588,5104.54,2019-08-12
589,5047.35,2019-08-13
590,4696.23,2019-08-14
591,5144.254332,2019-08-15
592,4970.21,2019-08-16
593,4921.0,2019-08-17
594,5075.28,2019-08-18
595,5027.4,2019-08-19
596,4748.1,2019-08-20
597,4696.23,2019-08-21
598,5410.44,2019-08-22
599,4883.76,2019-08-23
600,5745.6,2019-08-24
601,5659.15,2019-08-25
602,5452.221152,2019-08-26
603,5855.99,2019-08-27
604,4979.52,2019-08-28
605,5697.72,2019-08-29
606,4657.66,2019-08-30
607,5362.56,2019-08-31
608,6011.6,2019-09-01
609,5659.15,2019-09-02
610,4883.76,2019-09-03
611,5498.426416,2019-09-04
612,5554.08,2019-09-05
613,5027.4,2019-09-06
614,5812.1,2019-09-07
615,6202.28476,2019-09-08
616,5256.16,2019-09-09
617,4921.0,2019-09-10
618,5708.36,2019-09-11
619,5205.62,2019-09-12
620,5104.54,2019-09-13
621,5550.09,2019-09-14
622,5306.7,2019-09-15
623,5861.31,2019-09-16
624,5027.4,2019-09-17
625,5708.36,2019-09-18
626,5265.47,2019-09-19
627,6011.6,2019-09-20
628,5708.36,2019-09-21
629,5314.68,2019-09-22
630,5155.08,2019-09-23
631,5054.0,2019-09-24
632,5302.181724,2019-09-25
633,5505.94198,2019-09-26
634,5511.52,2019-09-27
635,2383.36,2019-09-28
636,6003.24228,2019-09-29
637,4840.500952,2019-09-30
638,5068.63,2019-10-01
639,5407.78,2019-10-02
640,5659.15,2019-10-03
641,5306.7,2019-10-04
642,5815.1457,2019-10-05
643,5287.59588,2019-10-06
644,5965.05,2019-10-07
645,5343.6474,2019-10-08
646,6224.4,2019-10-09
647,5882.76024,2019-10-10
648,5810.8897,2019-10-11
649,4957.04566,2019-10-12
650,4861.062752,2019-10-13
651,5324.8944,2019-10-14
652,5133.51006,2019-10-15
653,2409.681498,2019-10-16
654,2346.268827,2019-10-17
655,2282.856156,2019-10-18
656,2351.44,2019-10-19
657,2532.32,2019-10-20
658,5687.799264,2019-10-21
659,5798.8,2019-10-22
660,2351.44,2019-10-23
661,2705.22,2019-10-24
662,2610.451116,2019-10-25
663,2848.86,2019-10-26
664,2351.44,2019-10-27
665,2687.590983,2019-10-28
666,5136.521712,2019-10-29
667,5342.61,2019-10-30
668,6384.0,2019-10-31
669,6118.0,2019-11-01
670,2554.93,2019-11-02
671,2511.04,2019-11-03
672,2705.22,2019-11-04
673,2394.0,2019-11-05
674,3128.16,2019-11-06
675,3165.4,2019-11-07
676,2553.6,2019-11-08
677,6224.4,2019-11-09
678,5861.31,2019-11-10
679,2468.48,2019-11-11
680,2213.12,2019-11-12
681,2489.76,2019-11-13
682,2511.04,2019-11-14
683,2872.8,2019-11-15
684,2513.7,2019-11-16
685,2207.401,2019-11-17
686,2213.12,2019-11-18
687,2319.52,2019-11-19
688,2468.48,2019-11-20
689,2853.124512,2019-11-21
690,2643.506936,2019-11-22
691,2552.27,2019-11-23
692,2537.64,2019-11-24
693,2729.16,2019-11-25
694,2527.0,2019-11-26
695,2521.204924,2019-11-27
696,3289.566805,2019-11-28
697,3044.37,2019-11-29
698,2824.92,2019-11-30
699,2779.7,2019-12-01
700,2820.93,2019-12-02
701,3323.67,2019-12-03
702,2504.566092,2019-12-04
703,2323.707505,2019-12-05
704,2532.32,2019-12-06
705,2404.64,2019-12-07
706,2705.22,2019-12-08
707,2577.54,2019-12-09
708,2800.98,2019-12-10
709,2585.52,2019-12-11
710,2754.43,2019-12-12
711,2754.43,2019-12-13
712,3103.994964,2019-12-14
713,2560.935216,2019-12-15
714,2328.860457,2019-12-16
715,2893.552256,2019-12-17
716,2594.219264,2019-12-18
717,3313.38245,2019-12-19
718,3160.08,2019-12-20
719,2881.633727,2019-12-21
720,3548.44,2019-12-22
721,2609.46,2019-12-23
722,2403.302818,2019-12-24
723,2191.84,2019-12-25
724,2489.76,2019-12-26
725,2489.76,2019-12-27
726,2830.24,2019-12-28
727,2779.7,2019-12-29
728,2926.0,2019-12-30
729,2960.58,2019-12-31
730,3597.8096,2020-01-01
731,3247.61246,2020-01-02
732,3196.5885,2020-01-03
733,2766.5064,2020-01-04
734,3455.872,2020-01-05
735,3214.344,2020-01-06
736,3074.8536,2020-01-07
737,3190.7232,2020-01-08
738,3686.76,2020-01-09
739,3653.244,2020-01-10
740,3827.208,2020-01-11
741,3436.7865,2020-01-12
742,3374.909261,2020-01-13
743,3694.075,2020-01-14
744,2878.9313,2020-01-15
745,2875.992,2020-01-16
746,2818.909198,2020-01-17
747,2895.7824,2020-01-18
748,2870.406,2020-01-19
749,2818.2168,2020-01-20
750,2733.2032,2020-01-21
751,3559.3992,2020-01-22
752,3277.12,2020-01-23
753,3276.12658,2020-01-24
754,3134.3312,2020-01-25
755,3864.9534,2020-01-26
756,3974.2528,2020-01-27
757,3836.567201,2020-01-28
758,3526.4418,2020-01-29
759,3072.3,2020-01-30
760,3126.286695,2020-01-31
761,2458.955705,2020-02-01
762,6832.937244,2020-02-02
763,5918.635128,2020-02-03
764,3058.701282,2020-02-04
765,2760.2288,2020-02-05
766,2937.4912,2020-02-06
767,2507.900668,2020-02-07
768,2458.319598,2020-02-08
769,2930.256,2020-02-09
770,3024.819,2020-02-10
771,2767.597489,2020-02-11
772,2982.126,2020-02-12
773,3172.217005,2020-02-13
774,2963.0937,2020-02-14
775,3676.6121,2020-02-15
776,3775.689439,2020-02-16
777,3435.7092,2020-02-17
778,3189.34,2020-02-18
779,3264.352,2020-02-19
780,3044.37,2020-02-20
781,2791.419385,2020-02-21
782,5462.412809,2020-02-22
783,4276.461944,2020-02-23
784,2584.104827,2020-02-24
785,3575.224162,2020-02-25
786,3501.276072,2020-02-26
787,2967.2034,2020-02-27
788,2681.28,2020-02-28
789,3656.037,2020-03-01
790,3379.53,2020-03-02
791,3692.6253,2020-03-03
792,3234.298873,2020-03-04
793,5440.192632,2020-03-05
794,2899.484242,2020-03-06
795,2187.036133,2020-03-07
796,2811.005689,2020-03-08
797,2425.763592,2020-03-09
798,2627.608794,2020-03-10
799,2539.217181,2020-03-11
800,2932.7431,2020-03-12
801,2675.154605,2020-03-13
802,2858.373025,2020-03-14
803,2538.837,2020-03-15
804,2466.2988,2020-03-16
805,2603.3154,2020-03-17
806,3167.5945,2020-03-18
807,3098.368,2020-03-19
808,3085.6,2020-03-20
809,6046.510239,2020-03-21
810,3108.049283,2020-03-22
811,2759.106801,2020-03-23
812,3400.0785,2020-03-24
813,2710.939,2020-03-25
814,3506.47584,2020-03-26
815,5639.634538,2020-03-27
816,3330.08858,2020-03-28
817,2539.5552,2020-03-29
818,3123.372,2020-03-30
819,3225.7155,2020-03-31
820,2668.862182,2020-04-01
821,3041.4972,2020-04-02
822,3339.272336,2020-04-03
823,2428.402908,2020-04-04
824,3170.307168,2020-04-05
825,2478.812983,2020-04-06
826,2459.671809,2020-04-07
827,2911.2636,2020-04-08
828,2582.9664,2020-04-09
829,2740.245178,2020-04-10
830,2397.7905,2020-04-11
831,2840.481,2020-04-12
832,3013.4608,2020-04-13
833,2926.86071,2020-04-14
834,2838.3264,2020-04-15
835,3255.84,2020-04-16
836,2511.971,2020-04-17
837,6755.703585,2020-04-18
838,2481.8864,2020-04-19
839,2645.200026,2020-04-20
840,2323.776,2020-04-21
841,2763.6336,2020-04-22
842,2500.8256,2020-04-23
843,2234.4,2020-04-24
844,2409.3216,2020-04-25
845,2652.153,2020-04-26
846,2577.54,2020-04-27
847,7344.792,2020-04-28
848,6618.612,2020-04-29
849,6445.3662,2020-04-30
850,6595.897462,2020-05-01
851,2404.385438,2020-05-02
852,6246.744,2020-05-03
853,2571.4752,2020-05-04
854,2191.84,2020-05-05
855,7090.496,2020-05-06
856,5960.560425,2020-05-07
857,7041.04128,2020-05-08
858,2675.2152,2020-05-09
859,6160.5999,2020-05-10
860,6625.794,2020-05-11
861,6281.6565,2020-05-12
862,5811.6744,2020-05-13
863,6168.4735,2020-05-14
864,5783.1592,2020-05-15
865,5930.2971,2020-05-16
866,5322.0615,2020-05-17
867,6566.1568,2020-05-18
868,5822.5272,2020-05-19
869,6038.5192,2020-05-20
870,6386.2344,2020-05-21
871,5128.9056,2020-05-22
872,5467.231,2020-05-23
873,5660.48,2020-05-24
874,5839.3916,2020-05-25
875,5619.0372,2020-05-26
876,6383.388916,2020-05-27
877,5969.282592,2020-05-28
878,5205.62,2020-05-29
879,6031.368322,2020-05-30
880,5496.0388,2020-05-31
881,4883.76,2020-06-01
