,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
35,2018-02-05,3068.1768206835213,1039.3941001193134,4386.476664936064,3068.1768206835213,3068.1768206835213,-324.63893681389163,-324.63893681389163,-324.63893681389163,462.59191623570547,462.59191623570547,462.59191623570547,16.646724382714435,16.646724382714435,16.646724382714435,-803.8775774323116,-803.8775774323116,-803.8775774323116,0.0,0.0,0.0,2743.5378838696297
36,2018-02-06,3068.977054070549,1152.587250040539,4281.113398935005,3068.977054070549,3068.977054070549,-349.410962068312,-349.410962068312,-349.410962068312,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337759573,-11.260909337759573,-11.260909337759573,-800.7419689662578,-800.7419689662578,-800.7419689662578,0.0,0.0,0.0,2719.566092002237
37,2018-02-07,3069.7772874575767,1076.328943471587,4535.648042090579,3069.7772874575767,3069.7772874575767,-338.30122085417736,-338.30122085417736,-338.30122085417736,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010096557,-4.393592010096557,-4.393592010096557,-796.4995450797863,-796.4995450797863,-796.4995450797863,0.0,0.0,0.0,2731.4760666033994
38,2018-02-08,3070.577520844604,1156.6267403334282,4328.27971140364,3070.577520844604,3070.577520844604,-306.25140849263164,-306.25140849263164,-306.25140849263164,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364154237,22.468361364154237,22.468361364154237,-791.3116860924912,-791.3116860924912,-791.3116860924912,0.0,0.0,0.0,2764.3261123519724
39,2018-02-09,3071.3777542316316,1110.0224392333234,4382.229452245491,3071.3777542316316,3071.3777542316316,-357.39923327096403,-357.39923327096403,-357.39923327096403,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457628183,-34.59503457628183,-34.59503457628183,-785.3961149303877,-785.3961149303877,-785.3961149303877,0.0,0.0,0.0,2713.9785209606675
40,2018-02-10,3072.1779876186592,1204.472438386527,4382.838156379059,3072.1779876186592,3072.1779876186592,-330.4553192310109,-330.4553192310109,-330.4553192310109,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617634318,-14.026900617634318,-14.026900617634318,-779.0203348490821,-779.0203348490821,-779.0203348490821,0.0,0.0,0.0,2741.7226683876484
41,2018-02-11,3072.9782210056865,1146.0890602047587,4484.341209711018,3072.9782210056865,3072.9782210056865,-284.7399573222632,-284.7399573222632,-284.7399573222632,462.59191623570547,462.59191623570547,462.59191623570547,25.161350794882424,25.161350794882424,25.161350794882424,-772.493224352851,-772.493224352851,-772.493224352851,0.0,0.0,0.0,2788.238263683423
42,2018-02-12,3073.7784543927137,1249.9503147765427,4325.476405159772,3073.7784543927137,3073.7784543927137,-286.91639160367885,-286.91639160367885,-286.91639160367885,462.59191623570547,462.59191623570547,462.59191623570547,16.64672438282022,16.64672438282022,16.64672438282022,-766.1550322222045,-766.1550322222045,-766.1550322222045,0.0,0.0,0.0,2786.862062789035
43,2018-02-13,3074.5786877797414,1237.6667228186377,4400.679906699175,3074.5786877797414,3074.5786877797414,-309.03506462098244,-309.03506462098244,-309.03506462098244,462.59191623570547,462.59191623570547,462.59191623570547,-11.26090933769699,-11.26090933769699,-11.26090933769699,-760.3660715189909,-760.3660715189909,-760.3660715189909,0.0,0.0,0.0,2765.543623158759
44,2018-02-14,3075.3789211667686,1193.7588788445344,4352.895793100365,3075.3789211667686,3075.3789211667686,-297.2961344940975,-297.2961344940975,-297.2961344940975,462.59191623570547,462.59191623570547,462.59191623570547,-4.3935920101134105,-4.3935920101134105,-4.3935920101134105,-755.4944587196895,-755.4944587196895,-755.4944587196895,0.0,0.0,0.0,2778.0827866726713
